0, 0 0.335938 0.137827 0.837891;
1, 0 0.507812 0.312105 0.935547 1.06295 0.21875 0.058825 0.642578;
2, 0 0.857422 0.893188 0.453125 0.249115 0.927734;
3, 0 0.244141 0.0731154 0.693359 0.584824 0.792969 0.763962 0.611328;
4, 0 0.888672;
5, 0 0.365234 0.162027 0.869141 0.916055 0.423828;
6, 0 0.914062 1.01472 0.289062 0.10127 0.769531 0.719309 0.660156;
7, 0 0.837891 0.851775 0.505859;
8, 0 0.935547 1.06312 0.21875 0.0586959 0.642578 0.501862 0.859375;
9, 0 0.451172;
10, 0 0.927734 1.04417 0.246094 0.0741181 0.697266;
11, 0 0.789062 0.754929 0.621094 0.468715 0.880859 0.939855 0.390625;
12, 0 0.892578 0.966919 0.355469 0.152988 0.857422;
13, 0 0.453125 0.248775 0.927734 1.04511 0.246094 0.073322 0.695312;
14, 0 0.792969 0.762098 0.613281;
15, 0 0.886719 0.955412 0.371094 0.166756 0.875 0.92709 0.408203;
16, 0 0.90625 0.994562 0.316406;
17, 0 0.8125 0.798959 0.570312 0.394629 0.917969 1.02092 0.279297;
18, 0 0.755859 0.693244 0.689453;
19, 0 0.800781 0.778604 0.59375 0.42852 0.902344 0.987918 0.326172;
20, 0 0.824219 0.823323 0.541016 0.35505 0.929688;
21, 0 0.240234 0.0702517 0.685547 0.569187 0.806641 0.789891 0.580078;
22, 0 0.912109 1.00725 0.298828 0.108747 0.787109;
23, 0 0.626953 0.477538 0.875 0.928205 0.40625 0.20119 0.904297;
24, 0 0.320312;
25, 0 0.816406 0.807254 0.560547 0.381025 0.921875;
26, 0 0.263672 0.0849789 0.728516 0.645559 0.738281 0.65972 0.722656;
27, 0 0.748047 0.678256 0.705078;
28, 0 0.777344 0.734336 0.644531 0.50422 0.857422 0.890919 0.455078;
29, 0 0.929688;
30, 0 0.242188 0.0712346 0.6875 0.574598 0.802734;
31, 0 0.591797 0.424539 0.904297 0.99218 0.320312 0.124522 0.816406;
32, 0 0.558594 0.380123 0.921875 1.03257 0.263672;
33, 0 0.728516 0.642553 0.740234 0.664968 0.71875 0.625716 0.755859;
34, 0 0.6875 0.574281 0.802734;
35, 0 0.589844 0.423661 0.904297 0.993108 0.318359 0.123524 0.814453;
36, 0 0.564453 0.385731 0.919922;
37, 0 0.269531 0.0883231 0.738281 0.661569 0.720703 0.631683 0.75;
38, 0 0.699219 0.59246 0.787109;
39, 0 0.625 0.47523 0.876953 0.931287 0.402344 0.197161 0.902344;
40, 0 0.328125;
41, 0 0.828125 0.830235 0.533203 0.344041 0.931641;
42, 0 0.232422 0.0658291 0.669922 0.544241 0.828125 0.830119 0.533203;
43, 0 0.931641 1.05402 0.232422 0.0658941 0.669922;
44, 0 0.826172 0.829528 0.533203 0.345162 0.931641 1.05361 0.232422;
45, 0 0.671875 0.546552 0.826172;
46, 0 0.537109 0.350043 0.931641 1.05132 0.236328 0.0681103 0.677734;
47, 0 0.816406 0.809362 0.558594;
48, 0 0.923828 1.03444 0.259766 0.0826705 0.722656 0.634232 0.748047;
49, 0 0.703125 0.600245 0.779297;
50, 0 0.640625 0.497958 0.861328 0.89993 0.443359 0.239591 0.925781;
51, 0 0.255859 0.0796016 0.714844 0.618813 0.763672;
52, 0 0.675781 0.553361 0.820312 0.815591 0.550781 0.367483 0.925781;
53, 0 0.25 0.076529 0.705078;
54, 0 0.777344 0.733343 0.646484 0.505943 0.855469 0.888413 0.458984;
55, 0 0.929688 1.04985 0.238281 0.069326 0.681641;
56, 0 0.810547 0.798303 0.570312 0.39571 0.917969 1.01999 0.28125;
57, 0 0.757812 0.697202 0.685547 0.569078 0.806641;
58, 0 0.580078 0.409346 0.912109 1.00753 0.298828 0.108459 0.785156;
59, 0 0.628906 0.479498 0.873047;
60, 0 0.410156 0.20466 0.90625 0.997545 0.3125 0.118799 0.806641;
61, 0 0.583984 0.41329 0.910156 1.00369 0.304688;
62, 0 0.792969 0.763909 0.611328 0.45338 0.888672 0.959209 0.365234;
63, 0 0.869141;
64, 0 0.421875 0.216955 0.914062 1.01419 0.289062;
65, 0 0.771484 0.721486 0.658203 0.526569 0.841797 0.857603 0.498047;
66, 0 0.935547 1.06347 0.21875 0.0584228 0.642578;
67, 0 0.859375 0.896744 0.447266 0.244075 0.927734 1.04157 0.25;
68, 0 0.705078 0.602092 0.777344;
69, 0 0.644531 0.503398 0.857422 0.89211 0.455078 0.25065 0.929688;
70, 0 0.244141 0.0722038 0.691406 0.579889 0.798828;
71, 0 0.601562 0.439321 0.896484 0.975874 0.341797 0.142615 0.84375;
72, 0 0.488281 0.290559 0.935547;
73, 0 0.220703 0.0590702 0.644531 0.504154 0.857422 0.891015 0.455078;
74, 0 0.929688 1.04748 0.242188;
75, 0 0.6875 0.57502 0.802734 0.780276 0.591797 0.42571 0.904297;
76, 0 0.322266 0.125865 0.818359 0.812378 0.554688;
77, 0 0.925781 1.03791 0.255859 0.0795725 0.714844 0.618665 0.763672;
78, 0 0.675781 0.552913 0.820312;
79, 0 0.548828 0.366322 0.927734 1.04213 0.25;
80, 0 0.703125 0.599569 0.78125 0.739098 0.638672;
81, 0 0.863281 0.902756 0.439453 0.23564 0.923828;
82, 0 0.259766 0.0827431 0.722656 0.634592 0.748047;
83, 0 0.703125 0.601345 0.779297 0.73608 0.642578;
84, 0 0.859375 0.895288 0.449219 0.246134 0.927734 1.04316 0.248047;
85, 0 0.699219 0.594839 0.785156 0.747114 0.630859;
86, 0 0.871094 0.92199 0.414062 0.20941 0.910156 1.00431 0.302734;
87, 0 0.792969 0.761468 0.613281;
88, 0 0.886719 0.954078 0.371094 0.168384 0.876953 0.930765 0.404297;
89, 0 0.902344;
90, 0 0.326172 0.130073 0.826172 0.826336 0.537109;
91, 0 0.931641 1.05122 0.236328 0.0681895 0.677734 0.557677 0.816406;
92, 0 0.558594 0.378761 0.923828 1.03358 0.261719;
93, 0 0.724609 0.638062 0.744141 0.672799 0.710938 0.611961 0.769531;
94, 0 0.662109 0.532748 0.835938;
95, 0 0.509766 0.316085 0.935547 1.06243 0.220703 0.0592276 0.644531;
96, 0 0.857422 0.889618 0.457031 0.254212 0.929688;
97, 0 0.240234 0.0702221 0.685547 0.569023 0.806641 0.790161 0.580078;
98, 0 0.912109 1.00768 0.298828;
99, 0 0.785156 0.74806 0.628906 0.480509 0.873047;
100, 0 0.412109 0.206469 0.908203 1.00017 0.308594;
101, 0 0.800781 0.777628 0.595703 0.43016 0.902344;
102, 0 0.328125 0.13111 0.826172 0.829695 0.533203 0.344896 0.931641;
103, 0 0.232422 0.0661353 0.669922 0.546 0.826172;
104, 0 0.535156 0.348648 0.931641 1.052 0.234375 0.0675524 0.675781;
105, 0 0.820312 0.814439 0.550781 0.369346 0.925781;
106, 0 0.251953 0.0775903 0.708984 0.60848 0.773438 0.723909 0.65625;
107, 0 0.84375 0.86403 0.490234;
108, 0 0.935547 1.0628 0.220703 0.05894 0.644531 0.503357 0.857422;
109, 0 0.453125 0.250566 0.929688 1.04636 0.244141;
110, 0 0.691406 0.580155 0.796875 0.771754 0.601562 0.44007 0.896484;
111, 0 0.34375 0.143598 0.845703;
112, 0 0.486328 0.286316 0.935547 1.06191 0.220703;
113, 0 0.646484 0.507547 0.855469 0.886071 0.462891;
114, 0 0.931641 1.05182 0.236328 0.0676956 0.675781 0.554889 0.818359;
115, 0 0.552734 0.371456 0.925781 1.03875 0.253906;
116, 0 0.710938 0.614874 0.767578 0.712944 0.667969 0.541489 0.830078;
117, 0 0.527344 0.337364 0.933594 1.0568 0.228516;
118, 0 0.662109 0.531602 0.837891 0.849871 0.507812 0.313352 0.935547;
119, 0 0.21875 0.0589365 0.644531;
120, 0 0.857422 0.8922 0.453125 0.250522 0.929688 1.04633 0.244141;
121, 0 0.691406 0.580294 0.796875;
122, 0 0.601562 0.440461 0.896484 0.974564 0.34375 0.144114 0.845703;
123, 0 0.484375 0.284117 0.935547 1.06145 0.220703;
124, 0 0.648438 0.509725 0.853516 0.882876 0.466797 0.263941 0.931641;
125, 0 0.232422;
126, 0 0.669922 0.543524 0.828125 0.831253 0.53125;
127, 0 0.933594 1.0548 0.230469 0.0652689 0.667969 0.54101 0.830078;
128, 0 0.525391 0.336179 0.933594 1.05724 0.228516;
129, 0 0.660156 0.529564 0.837891 0.853011 0.503906 0.30853 0.935547;
130, 0 0.21875;
131, 0 0.642578 0.501147 0.859375 0.89536 0.449219;
132, 0 0.927734 1.04308 0.248047 0.0750547 0.701172 0.595191 0.785156;
133, 0 0.630859 0.483162 0.871094 0.920595 0.416016;
134, 0 0.912109 1.00685 0.298828 0.109153 0.787109 0.751383 0.625;
135, 0 0.876953;
136, 0 0.402344 0.196411 0.900391 0.984764 0.330078;
137, 0 0.830078 0.834535 0.527344 0.337244 0.933594 1.05685 0.228516;
138, 0 0.662109 0.531392 0.837891 0.850195 0.507812;
139, 0 0.935547 1.06286 0.21875 0.0588904 0.644531 0.503053 0.857422;
140, 0 0.453125;
141, 0 0.929688 1.04593 0.244141 0.0726214 0.693359;
142, 0 0.796875 0.768422 0.605469 0.445713 0.894531 0.968431 0.351562;
143, 0 0.855469 0.888747 0.458984 0.255463 0.929688;
144, 0 0.238281 0.0695698 0.681641 0.565404 0.810547 0.796087 0.574219;
145, 0 0.916016 1.01677 0.285156;
146, 0 0.765625 0.710746 0.669922 0.545334 0.826172;
